Date,GeoID,County,Area,Percentage_in_Poverty,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,Percent_Category
2.02E+07,3.50E+10,Lea,N/A,0.11,3,230,"4,681",0.0491,3
2.02E+07,3.50E+10,Eddy,Carlsbad,0.12,3,287,"5,854",0.049,3
2.02E+07,3.50E+10,Hidalgo,"Hidalgo County/Grant County, Other",0.34,5,118,"2,406",0.049,3
2.02E+07,3.50E+10,Roosevelt,"Roosevelt County/Curry County, Other",0.3,5,227,"4,630",0.049,3
2.02E+07,3.50E+10,Cibola,N/A,0.38,5,254,"5,251",0.0484,3
2.02E+07,3.50E+10,Chaves,Roswell N.W.,0.08,2,225,"4,710",0.0478,3
2.02E+07,3.50E+10,Lea,Hobbs No.,0.15,3,332,"6,955",0.0477,3
2.02E+07,3.50E+10,San Juan,West,0.41,6,237,"4,971",0.0477,3
2.02E+07,3.50E+10,Curry,Clovis East,0.42,6,231,"4,874",0.0474,3
2.02E+07,3.50E+10,Eddy,Carlsbad,0.26,4,231,"4,876",0.0474,3
2.02E+07,3.50E+10,Lea,Hobbs So.,0.24,4,179,"3,812",0.047,3
2.02E+07,3.50E+10,Chaves,Roswell S.E.,0.21,4,180,"3,838",0.0469,3
2.02E+07,3.50E+10,Dona Ana,South Valley,0.27,4,328,"7,020",0.0467,3
2.02E+07,3.50E+10,Santa Fe,Bellamah/Stamm,0.24,4,125,"2,689",0.0465,3
2.02E+07,3.50E+10,Lea,Hobbs So.,0.29,4,175,"3,771",0.0464,3
2.02E+07,3.50E+10,Chaves,Roswell N.W.,0.24,4,297,"6,422",0.0462,3
2.02E+07,3.50E+10,San Juan,N/A,0.14,3,147,"3,197",0.046,3
2.02E+07,3.50E+10,Lea,Hobbs No.,0.08,2,187,"4,115",0.0454,3
2.02E+07,3.50E+10,Cibola,N/A,0.43,6,95,"2,097",0.0453,3
2.02E+07,3.50E+10,Curry,Clovis East,0.16,3,165,"3,656",0.0451,3
2.02E+07,3.50E+10,Dona Ana,Northwest Las Cruces,0.22,4,276,"6,198",0.0445,3
2.02E+07,3.50E+10,Lea,N/A,0.08,2,75,"1,688",0.0444,3
2.02E+07,3.50E+10,Dona Ana,Central Las Cruces,0.31,5,138,"3,126",0.0441,3
2.02E+07,3.50E+10,Bernalillo,N/A,0.18,3,249,"5,653",0.044,3
2.02E+07,3.50E+10,San Juan,N/A,0.29,4,210,"4,796",0.0438,3
2.02E+07,3.50E+10,Dona Ana,Anthony Berino Chaparral,0.37,5,316,"7,256",0.0436,3
2.02E+07,3.50E+10,Bernalillo,Arenal Unser,0.24,4,328,"7,566",0.0434,3
2.02E+07,3.50E+10,Chaves,N/A,0.34,5,263,"6,136",0.0429,3
2.02E+07,3.50E+10,Cibola,N/A,0.22,4,128,"2,991",0.0428,3
2.02E+07,3.50E+10,Dona Ana,Central Las Cruces,0.28,4,251,"5,871",0.0428,3
2.02E+07,3.50E+10,Lea,Hobbs No.,0.22,4,294,"6,865",0.0428,3
2.02E+07,3.50E+10,Bernalillo,So. Ninetyeight,0.24,4,317,"7,442",0.0426,3
2.02E+07,3.50E+10,Chaves,Roswell S.E.,0.24,4,201,"4,721",0.0426,3
2.02E+07,3.50E+10,Chaves,Roswell N.W.,0.22,4,160,"3,791",0.0422,3
2.02E+07,3.50E+10,Eddy,N/A,0.24,4,297,"7,039",0.0422,3
2.02E+07,3.50E+10,Cibola,N/A,0.27,4,171,"4,086",0.0419,3
2.02E+07,3.50E+10,Dona Ana,South Valley,0.17,3,125,"2,993",0.0418,3
2.02E+07,3.50E+10,Eddy,Carlsbad,0.27,4,78,"1,866",0.0418,3
2.02E+07,3.50E+10,Lea,N/A,0.1,3,165,"3,969",0.0416,3
2.02E+07,3.50E+10,Mckinley,N/A,0.15,3,236,"5,684",0.0415,3
2.02E+07,3.50E+10,Santa Fe,Agua Fria Village,0.09,2,224,"5,401",0.0415,3
2.02E+07,3.50E+10,Luna,N/A,0.35,5,177,"4,273",0.0414,3
2.02E+07,3.50E+10,Bernalillo,So. Ninetyeight,0.2,4,307,"7,425",0.0413,3
2.02E+07,3.50E+10,Bernalillo,Chavez OneEighteenth,0.12,3,294,"7,112",0.0413,3
2.02E+07,3.50E+10,Eddy,Carlsbad,0.23,4,146,"3,539",0.0413,3
2.02E+07,3.50E+10,Sandoval,N/A,0.19,3,123,"2,977",0.0413,3
2.02E+07,3.50E+10,Dona Ana,South Valley,0.21,4,72,"1,747",0.0412,3
2.02E+07,3.51E+10,Valencia,West and Belen,0.15,3,279,"6,768",0.0412,3
2.02E+07,3.50E+10,Chaves,N/A,0.26,4,66,"1,604",0.0411,3
2.02E+07,3.50E+10,Dona Ana,Hatch and Surrounding Area,0.06,2,253,"6,163",0.0411,3
2.02E+07,3.50E+10,Bernalillo,Arenal Unser,0.25,4,305,"7,475",0.0408,3
2.02E+07,3.50E+10,Bernalillo,Gibson University,0.3,5,301,"7,414",0.0406,3
2.02E+07,3.50E+10,Bernalillo,So. Ninetyeight,0.27,4,284,"6,995",0.0406,3
2.02E+07,3.50E+10,Dona Ana,Mesilla Picacho Mesilla Park,0.39,5,206,"5,084",0.0405,3
2.02E+07,3.50E+10,Dona Ana,Dona Ana Fort Selden,0.17,3,420,"10,372",0.0405,3
2.02E+07,3.50E+10,Bernalillo,Rio Bravo Second,0.27,4,204,"5,085",0.0401,3
2.02E+07,3.50E+10,Eddy,Carlsbad,0.09,2,191,"4,772",0.04,3
2.02E+07,3.50E+10,Dona Ana,Dona Ana Fort Selden,0.16,3,264,"6,610",0.0399,3
2.02E+07,3.50E+10,Bernalillo,Lomas San Mateo,0.32,5,104,"2,613",0.0398,3
2.02E+07,3.50E+10,Bernalillo,N/A,0.18,3,147,"3,694",0.0398,3
2.02E+07,3.50E+10,Mckinley,N/A,0.3,4,129,"3,245",0.0398,3
2.02E+07,3.50E+10,Dona Ana,Central Las Cruces,0.4,5,114,"2,880",0.0396,3
2.02E+07,3.50E+10,Dona Ana,Dona Ana Fort Selden,0.24,4,287,"7,347",0.0391,3
2.02E+07,3.50E+10,Bernalillo,Central Tabo,0.32,5,242,"6,326",0.0383,3
2.02E+07,3.50E+10,Eddy,N/A,0.16,3,92,"2,400",0.0383,3
2.02E+07,3.50E+10,Santa Fe,Airport Road,0.17,3,116,"3,038",0.0382,3
2.02E+07,3.50E+10,Bernalillo,Central Penn,0.47,6,203,"5,380",0.0377,3
2.02E+07,3.50E+10,Dona Ana,Sonoma Butterfield Moongate,0.3,5,304,"8,124",0.0374,3
2.02E+07,3.50E+10,Bernalillo,Arenal Tapia,0.34,5,191,"5,190",0.0368,3
2.02E+07,3.50E+10,Bernalillo,Candelaria Second,0.2,4,148,"4,038",0.0367,3
2.02E+07,3.50E+10,Chaves,Roswell N.W.,0.13,3,153,"4,186",0.0366,3
2.02E+07,3.50E+10,Bernalillo,Comanche Carlysle,0.47,6,136,"3,745",0.0363,3
2.02E+07,3.50E+10,Lincoln,N/A,0.12,3,218,"6,049",0.036,3
2.02E+07,3.50E+10,Lea,Hobbs No.,0.05,1,142,"3,956",0.0359,3
2.02E+07,3.50E+10,Bernalillo,Central Penn,0.52,6,279,"7,787",0.0358,3
2.02E+07,3.51E+10,Valencia,SE,0.36,5,265,"7,474",0.0355,3
2.02E+07,3.50E+10,Eddy,Carlsbad,0.08,2,216,"6,119",0.0353,3
2.02E+07,3.50E+10,Bernalillo,Central Coors,0.37,5,298,"8,479",0.0351,3
2.02E+07,3.50E+10,Bernalillo,So. Ninetyeight,0.18,3,264,"7,574",0.0349,4
2.02E+07,3.50E+10,Dona Ana,University District,0.3,4,123,"3,551",0.0346,4
2.02E+07,3.50E+10,Dona Ana,Sonoma Butterfield Moongate,0.18,3,519,"15,505",0.0335,4
2.02E+07,3.50E+10,Lea,N/A,0.25,4,130,"3,875",0.0335,4
2.02E+07,3.50E+10,Lea,N/A,0.08,2,86,"2,591",0.0332,4
2.02E+07,3.50E+10,Eddy,Carlsbad,0.1,2,125,"3,771",0.0331,4
2.02E+07,3.50E+10,Roosevelt County/Curry County,N/A,0.06,2,147,"4,477",0.0328,4
2.02E+07,3.50E+10,Bernalillo,Central Coors,0.25,4,297,"9,085",0.0327,4
2.02E+07,3.50E+10,Santa Fe,Airport Road,0.25,4,31,961,0.0323,4
2.02E+07,3.50E+10,Dona Ana,University District,0.35,5,205,"6,390",0.0321,4
2.02E+07,3.50E+10,Lincoln,N/A,0.18,3,212,"6,603",0.0321,4
2.02E+07,3.50E+10,Bernalillo,Southwest,0.27,4,81,"2,531",0.032,4
2.02E+07,3.50E+10,Curry,Clovis East,0.06,2,208,"6,499",0.032,4
2.02E+07,3.50E+10,Bernalillo,Rio Bravo Second,0.35,5,151,"4,742",0.0318,4
2.02E+07,3.50E+10,Chaves,N/A,0.17,3,123,"3,864",0.0318,4
2.02E+07,3.50E+10,Bernalillo,Central Coors,0.15,3,167,"5,341",0.0313,4
2.02E+07,3.50E+10,Bernalillo,Arenal Tapia,0.31,5,101,"3,236",0.0312,4
2.02E+07,3.50E+10,Chaves,N/A,0.16,3,87,"2,787",0.0312,4
2.02E+07,3.51E+10,Valencia,NE,0.26,4,26,834,0.0312,4
2.02E+07,3.50E+10,Bernalillo,Alameda Coors,0.07,2,207,"6,663",0.0311,4
2.02E+07,3.50E+10,Bernalillo,Central Tabo,0.25,4,193,"6,247",0.0309,4
2.02E+07,3.51E+10,Santa Fe,Pueblos Plus,0.13,3,106,"3,435",0.0309,4
2.02E+07,3.50E+10,Bernalillo,Chavez OneEighteenth,0.26,4,165,"5,409",0.0305,4
2.02E+07,3.50E+10,Bernalillo,Arenal Tapia,0.16,3,124,"4,109",0.0302,4
2.02E+07,3.50E+10,Dona Ana,South Valley,0.24,4,94,"3,117",0.0302,4
2.02E+07,3.50E+10,Bernalillo,Arenal Tapia,0.29,4,109,"3,619",0.0301,4
2.02E+07,3.50E+10,Santa Fe,Airport Road,0.13,3,225,"7,510",0.03,4
2.02E+07,3.50E+10,San Juan,N/A,0.06,2,145,"4,892",0.0296,4
2.02E+07,3.50E+10,Eddy,N/A,0.08,2,163,"5,573",0.0292,4
2.02E+07,3.50E+10,Bernalillo,Isleta Gun Club,0.21,4,165,"5,679",0.0291,4
2.02E+07,3.51E+10,Valencia,Los Lunas,0.11,3,88,"3,030",0.029,4
2.02E+07,3.50E+10,Dona Ana,Las Alturas Talavera,0.28,4,130,"4,516",0.0288,4
2.02E+07,3.50E+10,Bernalillo,No. Ninetyeight,0.06,2,151,"5,270",0.0287,4
2.02E+07,3.50E+10,Roosevelt/Curry,N/A,0.15,3,121,"4,217",0.0287,4
2.02E+07,3.50E+10,Roosevelt/Curry,N/A,0.2,3,93,"3,246",0.0287,4
2.02E+07,3.50E+10,Dona Ana,Sonoma Butterfield Moongate,0.25,4,151,"5,287",0.0286,4
2.02E+07,3.50E+10,Dona Ana,Northwest Las Cruces,0.16,3,141,"4,969",0.0284,4
2.02E+07,3.50E+10,Dona Ana,Las Alturas Talavera,0.13,3,128,"4,510",0.0284,4
2.02E+07,3.50E+10,Bernalillo,Lomas Broadway,0.39,5,52,"1,864",0.0279,4
2.02E+07,3.50E+10,Bernalillo,Arenal Tapia,0.33,5,101,"3,628",0.0278,4
2.02E+07,3.50E+10,Bernalillo,Lomas Broadway,0.23,4,101,"3,645",0.0277,4
2.02E+07,3.50E+10,Dona Ana,University District,0.5,6,200,"7,212",0.0277,4
2.02E+07,3.50E+10,Roosevelt/Curry,N/A,0.18,3,99,"3,615",0.0274,4
2.02E+07,3.51E+10,Valencia,NE,0.38,5,130,"4,755",0.0273,4
2.02E+07,3.50E+10,San Juan,Farmington Southeast,0.34,5,182,"6,723",0.0271,4
2.02E+07,3.50E+10,Dona Ana,Northwest Las Cruces,0.38,5,134,"5,050",0.0265,4
2.02E+07,3.50E+10,Eddy,N/A,0.21,4,187,"7,064",0.0265,4
2.02E+07,3.50E+10,Bernalillo,Lomas Broadway,0.38,5,60,"2,348",0.0256,4
2.02E+07,3.50E+10,Bernalillo,Central Tabo,0.08,2,122,"4,784",0.0255,4
2.02E+07,3.50E+10,Bernalillo,Paseo Ventura,0.17,3,129,"5,084",0.0254,4
2.02E+07,3.50E+10,Dona Ana,Central Las Cruces,0.2,4,96,"3,802",0.0252,4
2.02E+07,3.50E+10,Bernalillo,Indian School Pennsylvania,0.16,3,90,"3,647",0.0247,4
2.02E+07,3.50E+10,Dona Ana,Central Las Cruces,0.28,4,73,"2,973",0.0246,4
2.02E+07,3.51E+10,Sierra/Catron,N/A,0.23,4,61,"2,482",0.0246,4
2.02E+07,3.50E+10,Santa Fe,Bellamah/Stamm,0.07,2,130,"5,303",0.0245,4
2.02E+07,3.50E+10,Lea,N/A,0.14,3,119,"4,893",0.0243,4
2.02E+07,3.50E+10,Bernalillo,Lomas Broadway,0.36,5,58,"2,419",0.024,4
2.02E+07,3.50E+10,Bernalillo,No. Ninetyeight,0.3,5,106,"4,410",0.024,4
2.02E+07,3.50E+10,Dona Ana,Northwest Las Cruces,0.22,4,98,"4,082",0.024,4
2.02E+07,3.50E+10,Sandoval,N/A,0.2,3,52,"2,167",0.024,4
2.02E+07,3.51E+10,Valencia,West and Belen,0.2,4,110,"4,602",0.0239,4
2.02E+07,3.50E+10,Santa Fe,Bellamah/Stamm,0.1,3,40,"1,690",0.0237,4
2.02E+07,3.50E+10,Dona Ana,Mesilla Picacho Mesilla Park,0.18,3,99,"4,189",0.0236,4
2.02E+07,3.50E+10,Sandoval,Rio Rancho West,0.12,3,132,"5,639",0.0234,4
2.02E+07,3.51E+10,Taos,Downtown and High Road,0.22,4,144,"6,144",0.0234,4
2.02E+07,3.50E+10,San Juan,Farmington West/Kirtland/La Plata,0.2,3,122,"5,260",0.0232,4
2.02E+07,3.50E+10,Bernalillo,Lomas Broadway,0.35,5,74,"3,223",0.023,4
2.02E+07,3.50E+10,Bernalillo,Isleta Gun Club,0.18,3,102,"4,457",0.0229,4
2.02E+07,3.50E+10,San Juan,Farmington Southeast,0.31,5,117,"5,106",0.0229,4
2.02E+07,3.50E+10,San Juan,South,0.36,5,130,"5,685",0.0229,4
2.02E+07,3.50E+10,Bernalillo,Central Penn,0.27,4,100,"4,380",0.0228,4
2.02E+07,3.50E+10,Bernalillo,Central Penn,0.44,6,140,"6,165",0.0227,4
2.02E+07,3.50E+10,Bernalillo,Irving Unser,0.06,2,62,"2,734",0.0227,4
2.02E+07,3.50E+10,Cibola,N/A,0.21,4,67,"2,949",0.0227,4
2.02E+07,3.51E+10,Valencia,West and Belen,0.23,4,46,"2,026",0.0227,4
2.02E+07,3.50E+10,Cibola,N/A,0.22,4,74,"3,269",0.0226,4
2.02E+07,3.50E+10,Bernalillo,Comanche Carlysle,0.24,4,63,"2,796",0.0225,4
2.02E+07,3.50E+10,Bernalillo,Lomas Broadway,0.23,4,61,"2,708",0.0225,4
2.02E+07,3.50E+10,Eddy,N/A,0.12,3,119,"5,288",0.0225,4
2.02E+07,3.50E+10,Sandoval,"Rio Rancho Blvd, So.",0.14,3,141,"6,268",0.0225,4
2.02E+07,3.50E+10,Bernalillo,Indian School Pennsylvania,0.17,3,86,"3,857",0.0223,4
2.02E+07,3.50E+10,Santa Fe,Agua Fria Neighborhood + Downtown,0.23,4,81,"3,637",0.0223,4
2.02E+07,3.50E+10,Bernalillo,Paseo Ventura,0.04,1,80,"3,606",0.0222,4
2.02E+07,3.50E+10,Military Bases,N/A,0.07,2,56,"2,520",0.0222,4
2.02E+07,3.51E+10,Santa Fe,Pueblos Plus,0.33,5,72,"3,237",0.0222,4
2.02E+07,3.51E+10,Taos,Downtown and High Road,0.17,3,170,"7,707",0.0221,4
2.02E+07,3.50E+10,Sandoval,Bernalillo/Placitas,0.24,4,105,"4,766",0.022,4
2.02E+07,3.50E+10,Bernalillo,No. Ninetyeight,0.06,2,70,"3,200",0.0219,4
2.02E+07,3.50E+10,Santa Fe,Opera Vicinity,0.09,2,63,"2,886",0.0218,4
2.02E+07,3.50E+10,Bernalillo,Central Tabo,0.36,5,133,"6,162",0.0216,4
2.02E+07,3.50E+10,Lea,N/A,0.19,3,76,"3,525",0.0216,4
