Geometries_ID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,Percent_Category 
35017964400,Grant,Silver City,0.36,5,16,4046,0.004,4
35055952700,Taos,Downtown and High Road,0.22,4,24,6144,0.0039,4
35001003724,Bernalillo,Paseo Louisiana,0.08,2,13,3330,0.0039,4
35043010714,Sandoval,"Rio Rancho Blvd, So.",0.16,3,20,5133,0.0039,4
35043010601,Sandoval,Corrales,0.07,2,18,4625,0.0039,4
35001004747,Bernalillo,Irving Unser,0.04,1,20,5147,0.0039,4
35001000904,Bernalillo,Central Penn,0.27,4,17,4380,0.0039,4
35017964500,Hidalgo/Grant,,0.23,4,11,2845,0.0039,4
35049001303,Santa Fe,Airport Road,0.13,3,29,7510,0.0039,4
35035000305,Otero,Alamogordo N.E.,0.16,3,15,3895,0.0039,4
35001004728,Bernalillo,Montano Coors,0.05,1,20,5201,0.0038,4
35013001103,Dona Ana,Mesilla Picacho Mesilla Park,0.18,3,16,4189,0.0038,4
35045000611,San Juan,North/Aztec,0.04,1,13,3424,0.0038,4
35043010602,Sandoval,Corrales,0.03,1,16,4274,0.0037,4
35015000500,Eddy,Carlsbad,0.23,4,13,3539,0.0037,4
35013001000,Dona Ana,University District,0.64,6,16,4369,0.0037,4
35055940000,Taos,Downtown and High Road,0.25,4,7,1913,0.0037,4
35001000710,Bernalillo,East Gateway,0.07,2,22,6041,0.0036,4
35051962402,Sierra/Catron,,0.23,4,9,2482,0.0036,4
35049010312,Santa Fe,South,0.15,3,17,4714,0.0036,4
35009000900,Military Bases,,0.07,2,9,2520,0.0036,4
35001003807,Bernalillo,East Mountain,0.1,3,16,4539,0.0035,4
35049010601,Santa Fe,East Foothills + Eldorado,0.07,2,17,4839,0.0035,4
35001940500,Bernalillo,Paseo Ventura,0.05,1,10,2852,0.0035,4
35045000702,San Juan,South,0.11,3,4,1143,0.0035,4
35001000122,Bernalillo,Indian School Pennsylvania,0.13,3,14,4046,0.0035,4
35013001102,Dona Ana,Mesilla Picacho Mesilla Park,0.13,3,10,2890,0.0035,4
35061970200,Valencia,NE,0.1,3,13,3789,0.0034,4
35001001102,Bernalillo,Gibson University,0.27,4,11,3210,0.0034,4
35061970303,Valencia,SE,0.13,3,22,6452,0.0034,4
35001000116,Bernalillo,Indian School Juan Tabo,0.05,2,10,2938,0.0034,4
35001000114,Bernalillo,Comanche Juan Tabo,0.2,3,11,3239,0.0034,4
35049940400,Santa Fe,Pueblos Plus,0.17,3,5,1475,0.0034,4
35043010720,Sandoval,Rio Rancho So.,0.05,1,29,8616,0.0034,4
35001003726,Bernalillo,Academy Tramway,0.04,1,8,2393,0.0033,4
35035000306,Otero,Alamogordo N.E.,0.09,2,11,3329,0.0033,4
35045943100,San Juan,South,0.29,4,6,1816,0.0033,4
35035000603,Otero,,0.17,3,9,2735,0.0033,4
35047957800,San Miguel,Las Vegas,0.35,5,14,4281,0.0033,4
35049000700,Santa Fe,Agua Fria Neighborhood + Downtown,0.15,3,7,2163,0.0032,4
35001003001,Bernalillo,Candelaria Second,0.19,3,16,4951,0.0032,4
35035000500,Otero,Alamogordo S.W.,0.23,4,17,5265,0.0032,4
35001000208,Bernalillo,Comanche Carlysle,0.24,4,9,2796,0.0032,4
35001003737,Bernalillo,Academy Tramway,0.04,1,9,2809,0.0032,4
35049010400,Santa Fe,East Foothills + Eldorado,0.04,1,10,3126,0.0032,4
35057963700,Torrance,,0.27,4,7,2207,0.0032,4
35045000706,San Juan,Northeast/Bloomfield,0.34,5,10,3153,0.0032,4
35049001105,Santa Fe,Bellamah/Stamm,0.11,3,8,2528,0.0032,4
35051962300,Sierra/Catron,,0.28,4,10,3167,0.0032,4
35049001001,Santa Fe,Agua Fria Neighborhood + Downtown,0.14,3,6,1924,0.0031,4
35043010705,Sandoval,Rio Rancho So.,0.1,2,20,6449,0.0031,4
35017964300,Grant,Silver City,0.26,4,20,6454,0.0031,4
35001003100,Bernalillo,Montano Rio Grande,0.12,3,9,2913,0.0031,4
35039944100,Rio Arriba,Espanola and Pueblos,0.28,4,19,6162,0.0031,4
35001003721,Bernalillo,Academy Tramway,0.02,1,19,6320,0.003,4
35047957400,San Miguel,Las Vegas,0.33,5,13,4351,0.003,4
35001002600,Bernalillo,Lomas Broadway,0.24,4,3,1039,0.0029,4
35021000100,Quay/DeBaca/Harding,,0.18,3,2,698,0.0029,4
35001003738,Bernalillo,Academy Tramway,0.15,3,14,4920,0.0028,4
35061970800,Valencia,West and Belen,0.23,4,14,4991,0.0028,4
35001001800,Bernalillo,Lomas Girard,0.46,6,8,2897,0.0028,4
35061970902,Valencia,West and Belen,0.17,3,7,2633,0.0027,4
35051962401,Sierra/Catron,,0.09,2,6,2290,0.0026,4
35035000700,Otero,,0.11,3,16,6182,0.0026,4
35049010304,Santa Fe,Opera Vicinity,0.03,1,10,3864,0.0026,4
35045942801,San Juan,West,0.3,4,7,2717,0.0026,4
35001003806,Bernalillo,East Mountain,0.07,2,9,3533,0.0025,4
35053978303,Socorro,N/A,0.31,5,9,3553,0.0025,4
35051962200,Sierra,N/A,0.35,5,8,3180,0.0025,4
35049010311,Santa Fe,South,0.04,1,11,4380,0.0025,4
35028000100,Los Alamos,,0.05,1,10,3994,0.0025,4
35035000200,Otero,Alamogordo S.W.,0.33,5,5,2004,0.0025,4
35049000200,Santa Fe,Opera Vicinity,0.1,2,9,3613,0.0025,4
35035000303,Otero,Alamogordo N.E.,0.23,4,6,2471,0.0024,4
35017964800,Hidalgo/Grant,,0.11,3,4,1677,0.0024,4
35053978100,Socorro,,0.22,4,10,4194,0.0024,4
35049001301,Santa Fe,Airport Road,0.06,2,4,1746,0.0023,4
35047957300,San Miguel,Las Vegas,0.41,6,7,3093,0.0023,4
35049010315,Santa Fe,Bellamah/Stamm,0.08,2,6,2668,0.0022,4
35001000711,Bernalillo,East Gateway,0.17,3,10,4491,0.0022,4
35049010309,Santa Fe,South,0.1,2,4,1824,0.0022,4
35007950700,Colfax/Union,,0.23,4,11,5038,0.0022,4
35049000900,Santa Fe,Agua Fria Neighborhood + Downtown,0.13,3,8,3673,0.0022,4
35043011100,Sandoval,Bernalillo/Placitas,0.13,3,16,7350,0.0022,4
35001000113,Bernalillo,Comanche Juan Tabo,0.2,4,7,3216,0.0022,4
35053978301,Socorro,,0.28,4,6,2798,0.0021,4
35015000900,Eddy,,0.12,3,11,5288,0.0021,4
35039000300,Rio Arriba,Espanola and Pueblos,0.22,4,14,6771,0.0021,4
35035000402,Otero,Alamogordo S.W,0.1,3,15,7325,0.002,4
35049000101,Santa Fe,Opera Vicinity,0.06,2,8,3956,0.002,4
35001000109,Bernalillo,Comanche Juan Tabo,0.08,2,5,2568,0.0019,4
35001003002,Bernalillo,Montano Rio Grande,0.18,3,8,4161,0.0019,4
35049000600,Santa Fe,Agua Fria Neighborhood + Downtown,0.07,2,4,2110,0.0019,4
35001000125,Bernalillo,East Gateway,0.04,1,8,4255,0.0019,4
35001003803,Bernalillo,East Mountain,0.04,1,6,3216,0.0019,4
35043011000,Sandoval,,0.2,3,4,2167,0.0018,4
35001000107,Bernalillo,East Gateway,0.04,1,5,2737,0.0018,4
35017964700,Grant,Silver City,0.17,3,10,5481,0.0018,4
35049010204,Santa Fe,Pueblos Plus,0.04,1,4,2205,0.0018,4
35049940500,Santa Fe,Pueblos Plus,0.19,3,3,1671,0.0018,4
35039940700,Rio Arriba,Espanola and Pueblos,0.31,5,6,3343,0.0018,4
35061970302,Valencia,SE,0.17,3,5,2787,0.0018,4
35027960200,Lincoln,,0.23,4,3,1688,0.0018,4
35057963201,Torrance,,0.23,4,7,3970,0.0018,4
35049010700,Santa Fe,East Foothills + Eldorado,0.07,2,9,5434,0.0017,4
35055952600,Taos,Downtown and High Road,0.17,3,13,7871,0.0017,4
35001003804,Bernalillo,East Mountain,0.04,1,9,5512,0.0016,4
35049940300,Santa Fe,Pueblos Plus,0.14,3,3,1843,0.0016,4
