Date,GeoID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,Percent,Percent_Category
20201117,35035000902,Otero,N/A,0.47,6,1734,"10,442",0.1661,17%,1
20201117,35045942802,San Juan,N/A,0.26,4,868,"6,142",0.1413,14%,1
20201117,35029000600,Luna,N/A,0.35,5,379,"2,736",0.1385,14%,1
20201117,35005001300,Chaves,N/A,0.18,3,371,"2,999",0.1237,12%,1
20201117,35001940600,Bernalillo,Southwest,0.15,3,1247,"10,290",0.1212,12%,1
20201117,35031943500,Mckinley,N/A,0.3,4,359,"3,469",0.1035,10%,1
20201117,35049980000,Santa Fe County,State Pen,N/A,N/A,97,959,0.1011,10%,1
20201117,35043010900,Sandoval,Other West,0.3,5,258,"2,575",0.1002,10%,1
20201117,35045000607,San Juan,N/A,0.16,3,362,"3,636",0.0996,10%,1
20201117,35031940300,Mckinley,SW,0.3,5,591,"6,470",0.0913,9%,2
20201117,35053978200,Socorro,N/A,0.18,3,147,"1,660",0.0886,9%,2
20201117,35013001701,Dona Ana,N/A,0.29,4,538,"6,137",0.0877,9%,2
20201117,35031943600,McKinley,NW,0.45,6,508,"5,879",0.0864,9%,2
20201117,35013001706,Dona Ana,Sunland Park,0.45,6,337,"3,933",0.0857,9%,2
20201117,35013001707,Dona Ana,Sunland Park,0.37,5,506,"6,092",0.0831,8%,2
20201117,35006974700,Cibola,N/A,0.19,3,531,"6,460",0.0822,8%,2
20201117,35001004736,Bernalillo,Chavez OneEighteenth,0.34,5,91,"1,160",0.0784,8%,2
20201117,35013001705,Dona Ana,Sunland Park,0.38,5,259,"3,348",0.0774,8%,2
20201117,35025000702,Lea,N/A,0.12,3,269,"3,490",0.0771,8%,2
20201117,35031946000,Mckinley,Other,0.5,6,437,"5,708",0.0766,8%,2
20201117,35043940700,Sandoval,N/A,0.24,4,313,"4,095",0.0764,8%,2
20201117,35049000400,Santa Fe,Agua Fria Neighborhood & Downtown,0.08,2,21,282,0.0745,7%,2
20201117,35013001400,Dona Ana,Hatch and Surrounding Area,0.41,6,431,"5,977",0.0721,7%,2
20201117,35013001806,Dona Ana,Anthony Berino Chaparral,0.47,6,444,"6,220",0.0714,7%,2
20201117,35039941000,Rio Arriba,N/A,0.29,4,249,"3,505",0.071,7%,2
20201117,35001000604,Bernalillo,N/A,0.26,4,309,"4,371",0.0707,7%,2
20201117,35043940200,Sandoval,Other East,0.35,5,283,"4,009",0.0706,7%,2
20201117,35031945600,Mckinley,Gallup,0.3,5,363,"5,248",0.0692,7%,2
20201117,35005000600,Chaves,Roswell S.E.,0.37,5,335,"4,930",0.068,7%,2
20201117,35013001805,Dona Ana,Anthony Berino Chaparral,0.43,6,278,"4,127",0.0674,7%,2
20201117,35045000402,San Juan,N/A,0.22,4,242,"3,611",0.067,7%,2
20201117,35031945200,Mckinley,Gallup,0.35,5,436,"6,533",0.0667,7%,2
20201117,35001003736,Bernalillo,N/A,0.23,4,134,"2,015",0.0665,7%,2
20201117,35035940000,Otero,Other,0.32,5,255,"3,867",0.0659,7%,2
20201117,35053940000,Socorro,N/A,0.67,6,93,"1,444",0.0644,6%,2
20201117,35031943902,Mckinley,SW,0.42,6,270,"4,232",0.0638,6%,2
20201117,35013000201,Dona Ana,N/A,0.26,4,377,"5,914",0.0637,6%,2
20201117,35005000700,Chaves,Roswell S.E.,0.18,3,278,"4,392",0.0633,6%,2
20201117,35009000201,Curry,Clovis West,0.2,4,266,"4,223",0.063,6%,2
20201117,35009000100,Curry,Clovis West,0.38,5,310,"5,105",0.0607,6%,2
20201117,35029000400,Luna,N/A,0.24,4,352,"5,804",0.0606,6%,2
20201117,35049001205,Santa Fe,Airport Road,0.17,3,342,"5,652",0.0605,6%,2
20201117,35045000504,San Juan,N/A,0.17,3,123,"2,037",0.0604,6%,2
20201117,35045000505,San Juan,N/A,0.16,3,438,"7,529",0.0582,6%,2
20201117,35001004735,Bernalillo,N/A,0.19,3,137,"2,363",0.058,6%,2
20201117,35031943800,Mckinley,NW,0.42,6,351,"6,153",0.057,6%,2
20201117,35005000500,Chaves,Roswell S.E.,0.3,5,115,"2,023",0.0568,6%,2
20201117,35005000900,Chaves,Roswell N.W.,0.13,3,154,"2,723",0.0566,6%,2
20201117,35031945300,Mckinley,Gallup,0.49,6,178,"3,164",0.0563,6%,2
20201117,35009000500,Curry,Clovis West,0.31,5,135,"2,407",0.0561,6%,2
20201117,35013001802,Dona Ana,Anthony Berino Chaparral,0.42,6,371,"6,743",0.055,6%,2
20201117,35029000100,Luna,N/A,0.32,5,287,"5,255",0.0546,5%,2
20201117,35029000300,Luna,N/A,0.28,4,127,"2,327",0.0546,5%,2
20201117,35025000100,Lea,N/A,0.21,4,168,"3,085",0.0545,5%,2
20201117,35031945700,Mckinley,SW,0.42,6,119,"2,188",0.0544,5%,2
20201117,35045000612,San Juan,North/Aztec,0.11,3,107,"1,974",0.0542,5%,2
20201117,35025000300,Lea,Hobbs So.,0.32,5,231,"4,316",0.0535,5%,2
20201117,35049001203,Santa Fe,Agua Fria Village,0.19,3,162,"3,031",0.0534,5%,2
20201117,35009000301,Curry,Clovis East,0.2,4,335,"6,379",0.0525,5%,2
20201117,35049001204,Santa Fe,Agua Fria Village,0.18,3,319,"6,110",0.0522,5%,2
20201117,35001003400,Bernalillo,Comanche Carlysle,0.41,6,243,"4,670",0.052,5%,2
20201117,35041000200,Roosevelt,"Roosevelt County/Curry County, Other",0.44,6,189,"3,647",0.0518,5%,2
20201117,35005000800,Chaves,Roswell N.W.,0.16,3,294,"5,686",0.0517,5%,2
20201117,35009000603,Roosevelt/Curry,N/A,0.22,4,217,"4,223",0.0514,5%,2
20201117,35009000202,Curry,Clovis West,0.27,4,224,"4,388",0.051,5%,2
20201117,35029000200,Luna,N/A,0.28,4,216,"4,240",0.0509,5%,2
20201117,35001004737,Bernalillo,Chavez OneEighteenth,0.15,3,318,"6,270",0.0507,5%,2
20201117,35025000704,Lea,N/A,0.05,2,141,"2,842",0.0496,5%,2
20201117,35025001003,Lea,N/A,0.11,3,230,"4,681",0.0491,5%,2
20201117,35015000600,Eddy,Carlsbad,0.12,3,287,"5,854",0.049,5%,2
20201117,35023970200,Hidalgo,"Hidalgo County/Grant County, Other",0.34,5,118,"2,406",0.049,5%,2
20201117,35041000100,Roosevelt,"Roosevelt County/Curry County, Other",0.3,5,227,"4,630",0.049,5%,2
20201117,35006974201,Cibola,N/A,0.38,5,254,"5,251",0.0484,5%,2
20201117,35005001001,Chaves,Roswell N.W.,0.08,2,225,"4,710",0.0478,5%,2
20201117,35025000600,Lea,Hobbs No.,0.15,3,332,"6,955",0.0477,5%,2
20201117,35045942900,San Juan,West,0.41,6,237,"4,971",0.0477,5%,2
20201117,35009000400,Curry,Clovis East,0.42,6,231,"4,874",0.0474,5%,2
20201117,35015000402,Eddy,Carlsbad,0.26,4,231,"4,876",0.0474,5%,2
20201117,35025000200,Lea,Hobbs So.,0.24,4,179,"3,812",0.047,5%,2
20201117,35005000202,Chaves,Roswell S.E.,0.21,4,180,"3,838",0.0469,5%,2
20201117,35013001801,Dona Ana,South Valley,0.27,4,328,"7,020",0.0467,5%,2
20201117,35049001106,Santa Fe,Bellamah/Stamm,0.24,4,125,"2,689",0.0465,5%,2
20201117,35025000400,Lea,Hobbs So.,0.29,4,175,"3,771",0.0464,5%,2
20201117,35005000300,Chaves,Roswell N.W.,0.24,4,297,"6,422",0.0462,5%,2
20201117,35045000503,San Juan,N/A,0.14,3,147,"3,197",0.046,5%,2
20201117,35025000503,Lea,Hobbs No.,0.08,2,187,"4,115",0.0454,5%,2
20201117,35006945800,Cibola,N/A,0.43,6,95,"2,097",0.0453,5%,2
20201117,35009000303,Curry,Clovis East,0.16,3,165,"3,656",0.0451,5%,2
20201117,35013000202,Dona Ana,Northwest Las Cruces,0.22,4,276,"6,198",0.0445,4%,3
20201117,35025000701,Lea,N/A,0.08,2,75,"1,688",0.0444,4%,3
20201117,35013000401,Dona Ana,Central Las Cruces,0.31,5,138,"3,126",0.0441,4%,3
20201117,35001004738,Bernalillo,N/A,0.18,3,249,"5,653",0.044,4%,3
20201117,35045943000,San Juan,N/A,0.29,4,210,"4,796",0.0438,4%,3
20201117,35013001804,Dona Ana,Anthony Berino Chaparral,0.37,5,316,"7,256",0.0436,4%,3
20201117,35001004734,Bernalillo,Arenal Unser,0.24,4,328,"7,566",0.0434,4%,3
20201117,35005001101,Chaves,N/A,0.34,5,263,"6,136",0.0429,4%,3
20201117,35006941500,Cibola,N/A,0.22,4,128,"2,991",0.0428,4%,3
20201117,35013000402,Dona Ana,Central Las Cruces,0.28,4,251,"5,871",0.0428,4%,3
20201117,35025000502,Lea,Hobbs No.,0.22,4,294,"6,865",0.0428,4%,3
20201117,35001004741,Bernalillo,So. Ninetyeight,0.24,4,317,"7,442",0.0426,4%,3
20201117,35005000400,Chaves,Roswell S.E.,0.24,4,201,"4,721",0.0426,4%,3
20201117,35005000201,Chaves,Roswell N.W.,0.22,4,160,"3,791",0.0422,4%,3
20201117,35015001000,Eddy,N/A,0.24,4,297,"7,039",0.0422,4%,3
20201117,35006946100,Cibola,N/A,0.27,4,171,"4,086",0.0419,4%,3
20201117,35013001600,Dona Ana,South Valley,0.17,3,125,"2,993",0.0418,4%,3
20201117,35015000100,Eddy,Carlsbad,0.27,4,78,"1,866",0.0418,4%,3
20201117,35025001004,Lea,N/A,0.1,3,165,"3,969",0.0416,4%,3
20201117,35031945500,Mckinley,N/A,0.15,3,236,"5,684",0.0415,4%,3
20201117,35049001202,Santa Fe,Agua Fria Village,0.09,2,224,"5,401",0.0415,4%,3
20201117,35029000500,Luna,N/A,0.35,5,177,"4,273",0.0414,4%,3
20201117,35001004712,Bernalillo,So. Ninetyeight,0.2,4,307,"7,425",0.0413,4%,3
20201117,35001004713,Bernalillo,Chavez OneEighteenth,0.12,3,294,"7,112",0.0413,4%,3
20201117,35015000500,Eddy,Carlsbad,0.23,4,146,"3,539",0.0413,4%,3
20201117,35043011200,Sandoval,N/A,0.19,3,123,"2,977",0.0413,4%,3
20201117,35013001702,Dona Ana,South Valley,0.21,4,72,"1,747",0.0412,4%,3
20201117,35061970700,Valencia,West and Belen,0.15,3,279,"6,768",0.0412,4%,3
20201117,35005001200,Chaves,N/A,0.26,4,66,"1,604",0.0411,4%,3
20201117,35013001500,Dona Ana,Hatch and Surrounding Area,0.06,2,253,"6,163",0.0411,4%,3
20201117,35001004733,Bernalillo,Arenal Unser,0.25,4,305,"7,475",0.0408,4%,3
20201117,35001001200,Bernalillo,Gibson University,0.3,5,301,"7,414",0.0406,4%,3
20201117,35001004739,Bernalillo,So. Ninetyeight,0.27,4,284,"6,995",0.0406,4%,3
